business_date,temp_mean_f,temp_max_f,temp_min_f,precipitation_in,had_precipitation,snowfall_in,had_snow,windspeed_max_mph,weathercode,weather_description
2024-01-01,38.1,45.2,32.7,0.004,True,0.028,True,9.3,71,Slight snow
2024-01-02,31.9,41.9,24.0,0.0,False,0.0,False,8.1,0,Clear sky
2024-01-03,34.7,45.6,28.2,0.0,False,0.0,False,9.7,3,Overcast
2024-01-04,35.3,44.1,28.1,0.0,False,0.0,False,16.5,3,Overcast
2024-01-05,28.7,37.1,22.5,0.0,False,0.0,False,13.7,3,Overcast
2024-01-06,30.4,37.3,23.1,0.386,True,1.24,True,18.5,75,Heavy snow
2024-01-07,35.2,37.6,30.9,0.295,True,0.331,True,18.3,73,Snow
2024-01-08,34.6,43.3,28.0,0.0,False,0.0,False,10.8,1,Mainly clear
2024-01-09,38.7,55.2,24.4,1.165,True,0.0,False,37.6,63,Rain
2024-01-10,48.5,56.4,40.8,1.488,True,0.0,False,30.6,65,Heavy rain
2024-01-11,39.8,46.3,32.0,0.0,False,0.0,False,14.5,3,Overcast
2024-01-12,39.1,46.5,29.0,0.02,True,0.0,False,13.1,51,Light drizzle
2024-01-13,48.5,58.1,34.9,1.028,True,0.0,False,22.2,65,Heavy rain
2024-01-14,32.1,42.8,25.1,0.031,True,0.193,True,23.5,73,Snow
2024-01-15,25.7,30.0,21.6,0.031,True,0.22,True,7.4,73,Snow
2024-01-16,27.5,32.0,22.4,0.409,True,1.626,True,15.6,73,Snow
2024-01-17,20.3,24.3,15.9,0.0,False,0.0,False,14.8,0,Clear sky
2024-01-18,25.6,32.4,19.2,0.012,True,0.083,True,11.3,71,Slight snow
2024-01-19,27.9,30.2,24.0,0.094,True,0.661,True,10.6,73,Snow
2024-01-20,21.0,25.8,17.0,0.0,False,0.0,False,15.9,3,Overcast
2024-01-21,22.8,29.6,18.1,0.0,False,0.0,False,14.6,3,Overcast
2024-01-22,26.8,37.4,18.0,0.0,False,0.0,False,10.4,3,Overcast
2024-01-23,33.8,39.8,29.0,0.067,True,0.0,False,11.1,53,Drizzle
2024-01-24,38.5,43.3,32.4,0.122,True,0.0,False,6.4,51,Light drizzle
2024-01-25,49.4,53.8,43.2,0.319,True,0.0,False,13.9,61,Slight rain
2024-01-26,43.4,47.6,37.2,0.173,True,0.0,False,12.0,53,Drizzle
2024-01-27,41.6,47.5,36.0,0.0,False,0.0,False,8.6,3,Overcast
2024-01-28,38.5,40.3,36.9,0.854,True,0.0,False,18.6,63,Rain
2024-01-29,36.9,42.3,32.1,0.028,True,0.0,False,17.9,51,Light drizzle
2024-01-30,32.6,39.6,25.1,0.0,False,0.0,False,8.1,3,Overcast
2024-01-31,35.9,39.7,30.7,0.016,True,0.028,True,7.0,71,Slight snow
2024-02-01,36.5,47.8,27.0,0.0,False,0.0,False,13.7,3,Overcast
2024-02-02,38.6,42.1,34.4,0.268,True,0.0,False,14.3,55,Heavy drizzle
2024-02-03,33.5,41.7,25.9,0.0,False,0.0,False,15.2,2,Partly cloudy
2024-02-04,33.4,45.1,25.3,0.0,False,0.0,False,9.0,0,Clear sky
2024-02-05,33.2,44.1,25.7,0.0,False,0.0,False,14.4,0,Clear sky
2024-02-06,31.2,41.9,23.3,0.0,False,0.0,False,10.6,0,Clear sky
2024-02-07,34.5,46.2,25.4,0.0,False,0.0,False,7.4,2,Partly cloudy
2024-02-08,36.0,49.0,26.1,0.0,False,0.0,False,7.7,3,Overcast
2024-02-09,41.6,50.4,34.9,0.0,False,0.0,False,12.3,3,Overcast
2024-02-10,46.6,59.9,35.4,0.008,True,0.0,False,11.0,51,Light drizzle
2024-02-11,44.3,48.1,38.6,0.0,False,0.0,False,9.2,3,Overcast
2024-02-12,38.8,47.7,29.0,0.0,False,0.0,False,6.8,3,Overcast
2024-02-13,33.4,37.6,27.1,1.016,True,6.945,True,15.6,75,Heavy snow
2024-02-14,28.7,33.9,24.4,0.0,False,0.0,False,17.8,1,Mainly clear
2024-02-15,29.8,36.3,21.4,0.0,False,0.0,False,13.9,3,Overcast
2024-02-16,34.4,40.6,28.7,0.0,False,0.0,False,18.9,3,Overcast
2024-02-17,30.3,35.6,23.9,0.224,True,1.571,True,15.9,73,Snow
2024-02-18,28.7,40.5,20.6,0.0,False,0.0,False,18.4,0,Clear sky
2024-02-19,31.2,39.0,23.6,0.0,False,0.0,False,12.6,0,Clear sky
2024-02-20,27.3,35.8,20.1,0.0,False,0.0,False,7.9,1,Mainly clear
2024-02-21,30.5,40.2,21.9,0.0,False,0.0,False,9.4,3,Overcast
2024-02-22,33.9,42.3,22.6,0.012,True,0.0,False,13.6,51,Light drizzle
2024-02-23,41.2,46.9,36.9,0.13,True,0.0,False,8.6,53,Drizzle
2024-02-24,36.2,42.8,26.3,0.0,False,0.0,False,12.8,3,Overcast
2024-02-25,27.8,36.7,19.7,0.0,False,0.0,False,10.4,3,Overcast
2024-02-26,37.8,49.9,28.8,0.035,True,0.138,True,9.2,73,Snow
2024-02-27,45.2,54.3,33.3,0.189,True,0.0,False,18.3,63,Rain
2024-02-28,55.3,61.2,50.5,0.417,True,0.0,False,24.6,63,Rain
2024-02-29,33.6,44.1,26.9,0.008,True,0.0,False,22.3,51,Light drizzle
2024-03-01,33.2,41.0,24.5,0.0,False,0.0,False,12.8,3,Overcast
2024-03-02,44.5,50.8,36.1,1.063,True,0.0,False,18.0,63,Rain
2024-03-03,52.4,65.7,43.2,0.0,False,0.0,False,9.7,3,Overcast
2024-03-04,46.7,56.7,39.2,0.0,False,0.0,False,13.5,3,Overcast
2024-03-05,44.3,47.8,40.0,0.732,True,0.0,False,12.8,63,Rain
2024-03-06,45.1,49.8,38.2,1.331,True,0.0,False,14.6,65,Heavy rain
2024-03-07,49.5,54.2,42.2,0.146,True,0.0,False,15.7,55,Heavy drizzle
2024-03-08,42.4,53.8,33.3,0.0,False,0.0,False,13.2,3,Overcast
2024-03-09,41.5,46.7,38.6,0.953,True,0.0,False,22.5,63,Rain
2024-03-10,45.3,51.3,35.6,0.756,True,0.0,False,19.0,65,Heavy rain
2024-03-11,40.6,49.7,33.3,0.0,False,0.0,False,27.4,3,Overcast
2024-03-12,48.4,63.0,36.0,0.0,False,0.0,False,15.3,3,Overcast
2024-03-13,47.2,58.1,37.0,0.0,False,0.0,False,11.1,3,Overcast
2024-03-14,52.3,69.8,38.6,0.0,False,0.0,False,7.9,3,Overcast
2024-03-15,58.4,70.8,47.4,0.028,True,0.0,False,15.0,53,Drizzle
2024-03-16,47.7,56.8,40.6,0.012,True,0.0,False,16.8,51,Light drizzle
2024-03-17,51.4,60.0,44.9,0.016,True,0.0,False,19.0,51,Light drizzle
2024-03-18,43.7,48.3,35.9,0.0,False,0.0,False,12.7,3,Overcast
2024-03-19,38.1,45.6,31.6,0.016,True,0.028,True,17.2,71,Slight snow
2024-03-20,43.0,54.2,34.2,0.098,True,0.0,False,19.0,61,Slight rain
2024-03-21,33.2,41.8,25.6,0.0,False,0.0,False,19.5,3,Overcast
2024-03-22,33.2,40.9,23.7,0.0,False,0.0,False,11.7,3,Overcast
2024-03-23,43.1,51.2,35.0,2.488,True,0.0,False,25.1,65,Heavy rain
2024-03-24,36.2,46.8,27.7,0.0,False,0.0,False,19.5,1,Mainly clear
2024-03-25,38.9,49.3,29.7,0.0,False,0.0,False,14.3,0,Clear sky
2024-03-26,41.7,49.6,32.1,0.0,False,0.0,False,13.3,3,Overcast
2024-03-27,45.6,52.2,40.4,0.016,True,0.0,False,7.3,51,Light drizzle
2024-03-28,47.2,50.5,44.2,0.969,True,0.0,False,12.6,63,Rain
2024-03-29,45.1,55.0,38.7,0.024,True,0.0,False,21.4,51,Light drizzle
2024-03-30,46.2,58.0,36.2,0.0,False,0.0,False,15.5,3,Overcast
2024-03-31,50.7,61.1,39.6,0.008,True,0.0,False,13.7,51,Light drizzle
2024-04-01,47.3,54.2,41.0,0.114,True,0.0,False,8.4,53,Drizzle
2024-04-02,45.5,48.0,43.5,0.74,True,0.0,False,14.1,63,Rain
2024-04-03,42.9,45.0,40.4,0.984,True,0.0,False,26.9,63,Rain
2024-04-04,42.0,47.9,37.0,0.248,True,0.0,False,26.3,63,Rain
2024-04-05,41.6,49.0,34.9,0.0,False,0.0,False,18.5,3,Overcast
2024-04-06,43.8,52.2,37.0,0.008,True,0.0,False,18.3,51,Light drizzle
2024-04-07,44.5,56.4,34.8,0.0,False,0.0,False,15.0,3,Overcast
2024-04-08,47.8,63.7,34.8,0.0,False,0.0,False,8.5,3,Overcast
2024-04-09,56.8,73.6,42.0,0.0,False,0.0,False,9.9,3,Overcast
2024-04-10,53.7,60.3,47.1,0.004,True,0.0,False,10.0,51,Light drizzle
2024-04-11,54.2,61.9,49.1,0.453,True,0.0,False,18.7,63,Rain
2024-04-12,59.3,65.4,54.0,0.65,True,0.0,False,26.4,63,Rain
2024-04-13,48.9,53.3,45.5,0.071,True,0.0,False,22.5,53,Drizzle
2024-04-14,55.3,65.5,42.0,0.071,True,0.0,False,14.8,61,Slight rain
2024-04-15,64.3,76.6,50.3,0.0,False,0.0,False,14.7,3,Overcast
2024-04-16,56.8,68.8,44.3,0.0,False,0.0,False,11.3,1,Mainly clear
2024-04-17,51.2,59.6,45.1,0.106,True,0.0,False,11.6,53,Drizzle
2024-04-18,47.3,48.4,42.6,0.429,True,0.0,False,15.6,63,Rain
2024-04-19,47.4,55.6,39.7,0.0,False,0.0,False,12.4,3,Overcast
2024-04-20,54.8,67.4,46.8,0.142,True,0.0,False,16.1,61,Slight rain
2024-04-21,45.7,53.7,36.5,0.0,False,0.0,False,14.3,3,Overcast
2024-04-22,47.6,59.6,35.4,0.0,False,0.0,False,10.6,3,Overcast
2024-04-23,48.1,57.5,36.8,0.0,False,0.0,False,17.2,3,Overcast
2024-04-24,56.0,70.7,47.0,0.043,True,0.0,False,15.6,55,Heavy drizzle
2024-04-25,45.4,53.4,37.7,0.0,False,0.0,False,12.2,3,Overcast
2024-04-26,46.5,56.9,35.9,0.0,False,0.0,False,11.5,2,Partly cloudy
2024-04-27,47.9,57.0,38.3,0.016,True,0.0,False,17.1,51,Light drizzle
2024-04-28,58.5,70.2,47.9,0.028,True,0.0,False,10.3,53,Drizzle
2024-04-29,67.7,83.3,55.8,0.268,True,0.0,False,9.1,63,Rain
2024-04-30,59.4,72.3,52.1,0.165,True,0.0,False,8.6,63,Rain
2024-05-01,58.8,74.7,50.4,0.043,True,0.0,False,12.3,53,Drizzle
2024-05-02,63.0,78.9,49.7,0.0,False,0.0,False,14.2,3,Overcast
2024-05-03,56.4,62.6,50.4,0.0,False,0.0,False,12.1,3,Overcast
2024-05-04,53.1,62.4,46.4,0.0,False,0.0,False,13.5,3,Overcast
2024-05-05,51.3,54.0,48.5,0.295,True,0.0,False,14.1,61,Slight rain
2024-05-06,61.8,71.2,54.1,0.024,True,0.0,False,7.6,51,Light drizzle
2024-05-07,66.0,78.1,54.5,0.0,False,0.0,False,10.6,3,Overcast
2024-05-08,72.6,85.8,60.6,0.004,True,0.0,False,16.8,51,Light drizzle
2024-05-09,63.3,69.4,57.5,0.0,False,0.0,False,10.5,3,Overcast
2024-05-10,51.2,57.7,49.2,0.492,True,0.0,False,12.8,63,Rain
2024-05-11,52.2,60.7,44.4,0.0,False,0.0,False,13.8,3,Overcast
2024-05-12,50.7,55.4,47.9,0.248,True,0.0,False,8.9,61,Slight rain
2024-05-13,54.7,65.3,43.3,0.012,True,0.0,False,14.1,51,Light drizzle
2024-05-14,60.3,69.3,50.1,0.15,True,0.0,False,13.9,61,Slight rain
2024-05-15,60.0,66.5,56.3,0.295,True,0.0,False,17.3,55,Heavy drizzle
2024-05-16,61.7,65.7,58.9,0.189,True,0.0,False,21.4,51,Light drizzle
2024-05-17,63.2,72.9,53.9,0.0,False,0.0,False,11.8,3,Overcast
2024-05-18,61.7,72.3,55.8,0.098,True,0.0,False,7.6,53,Drizzle
2024-05-19,61.8,73.6,54.5,0.0,False,0.0,False,13.1,3,Overcast
2024-05-20,60.6,73.9,51.8,0.0,False,0.0,False,11.4,3,Overcast
2024-05-21,64.5,76.6,54.5,0.0,False,0.0,False,11.1,3,Overcast
2024-05-22,69.6,80.9,60.2,0.0,False,0.0,False,14.5,3,Overcast
2024-05-23,72.4,79.9,65.6,0.291,True,0.0,False,10.3,63,Rain
2024-05-24,72.5,85.6,61.2,0.0,False,0.0,False,10.6,3,Overcast
2024-05-25,67.3,78.6,58.6,0.0,False,0.0,False,11.3,3,Overcast
2024-05-26,67.1,77.4,60.2,0.004,True,0.0,False,10.1,51,Light drizzle
2024-05-27,66.1,72.1,62.3,1.756,True,0.0,False,18.0,65,Heavy rain
2024-05-28,71.6,80.8,64.0,0.004,True,0.0,False,16.9,51,Light drizzle
2024-05-29,66.0,76.8,57.3,0.449,True,0.0,False,9.6,63,Rain
2024-05-30,63.8,71.0,57.5,0.118,True,0.0,False,13.6,61,Slight rain
2024-05-31,64.8,76.6,54.6,0.0,False,0.0,False,12.9,3,Overcast
2024-06-01,68.6,83.3,55.0,0.0,False,0.0,False,10.9,3,Overcast
2024-06-02,69.1,80.5,57.1,0.0,False,0.0,False,13.2,3,Overcast
2024-06-03,73.9,85.5,63.9,0.0,False,0.0,False,8.5,3,Overcast
2024-06-04,69.2,77.4,62.0,0.0,False,0.0,False,11.3,3,Overcast
2024-06-05,68.5,78.4,59.5,0.134,True,0.0,False,15.3,61,Slight rain
2024-06-06,73.6,81.4,66.8,0.98,True,0.0,False,24.2,65,Heavy rain
2024-06-07,73.1,83.0,64.8,0.024,True,0.0,False,13.8,53,Drizzle
2024-06-08,68.7,77.4,59.3,0.0,False,0.0,False,17.3,3,Overcast
2024-06-09,68.7,77.3,58.5,0.008,True,0.0,False,16.9,51,Light drizzle
2024-06-10,66.9,76.3,57.9,0.0,False,0.0,False,11.7,3,Overcast
2024-06-11,65.8,73.7,57.2,0.055,True,0.0,False,7.3,51,Light drizzle
2024-06-12,67.4,78.4,58.0,0.0,False,0.0,False,11.9,3,Overcast
2024-06-13,71.0,82.1,58.2,0.0,False,0.0,False,18.4,3,Overcast
2024-06-14,73.3,84.2,66.8,0.327,True,0.0,False,9.8,63,Rain
2024-06-15,71.6,81.4,63.4,0.0,False,0.0,False,14.0,3,Overcast
2024-06-16,66.4,75.3,58.1,0.0,False,0.0,False,11.7,3,Overcast
2024-06-17,72.0,81.1,62.2,0.0,False,0.0,False,18.4,3,Overcast
2024-06-18,76.1,84.5,68.6,0.0,False,0.0,False,15.3,3,Overcast
2024-06-19,76.2,87.0,67.8,0.0,False,0.0,False,16.1,3,Overcast
2024-06-20,79.1,91.6,68.1,0.0,False,0.0,False,13.4,3,Overcast
2024-06-21,82.1,95.9,73.2,0.012,True,0.0,False,12.5,51,Light drizzle
2024-06-22,80.1,92.5,72.3,0.098,True,0.0,False,10.9,61,Slight rain
2024-06-23,84.3,95.7,72.9,0.008,True,0.0,False,16.9,51,Light drizzle
2024-06-24,77.9,82.6,71.8,0.0,False,0.0,False,24.2,3,Overcast
2024-06-25,79.1,93.4,67.7,0.0,False,0.0,False,19.2,3,Overcast
2024-06-26,82.6,94.1,74.3,0.008,True,0.0,False,16.6,51,Light drizzle
2024-06-27,77.2,86.9,71.0,0.386,True,0.0,False,13.4,63,Rain
2024-06-28,68.2,76.8,59.9,0.0,False,0.0,False,13.9,3,Overcast
2024-06-29,73.2,80.4,65.3,0.035,True,0.0,False,22.3,53,Drizzle
2024-06-30,79.7,91.2,72.5,0.921,True,0.0,False,14.0,65,Heavy rain
2024-07-01,71.6,80.7,61.6,0.004,True,0.0,False,15.7,51,Light drizzle
2024-07-02,72.8,84.4,61.1,0.0,False,0.0,False,10.3,3,Overcast
2024-07-03,73.2,82.6,64.0,0.0,False,0.0,False,16.8,3,Overcast
2024-07-04,75.8,85.7,67.2,0.043,True,0.0,False,13.2,53,Drizzle
2024-07-05,79.2,88.5,71.3,0.094,True,0.0,False,12.4,61,Slight rain
2024-07-06,81.2,90.1,72.8,0.0,False,0.0,False,11.7,3,Overcast
2024-07-07,82.1,91.0,74.7,0.039,True,0.0,False,9.1,51,Light drizzle
2024-07-08,80.2,91.5,73.8,0.024,True,0.0,False,10.1,51,Light drizzle
2024-07-09,79.5,86.4,72.1,0.012,True,0.0,False,14.7,51,Light drizzle
2024-07-10,81.4,88.1,76.3,0.004,True,0.0,False,23.4,51,Light drizzle
2024-07-11,81.5,91.3,76.0,0.138,True,0.0,False,18.2,61,Slight rain
2024-07-12,77.9,84.6,73.0,0.181,True,0.0,False,12.3,61,Slight rain
2024-07-13,77.1,85.2,71.5,1.039,True,0.0,False,9.9,65,Heavy rain
2024-07-14,79.8,88.2,71.6,0.016,True,0.0,False,11.4,51,Light drizzle
2024-07-15,82.3,90.1,74.4,0.094,True,0.0,False,13.8,61,Slight rain
2024-07-16,84.2,94.6,73.9,0.244,True,0.0,False,17.8,63,Rain
2024-07-17,81.1,88.8,75.5,1.02,True,0.0,False,12.2,65,Heavy rain
2024-07-18,79.0,88.5,71.3,0.02,True,0.0,False,8.0,51,Light drizzle
2024-07-19,75.5,86.2,64.7,0.0,False,0.0,False,9.4,1,Mainly clear
2024-07-20,75.9,84.1,65.5,0.098,True,0.0,False,10.8,61,Slight rain
2024-07-21,78.9,88.3,68.4,0.008,True,0.0,False,13.5,51,Light drizzle
2024-07-22,76.8,82.9,71.3,0.169,True,0.0,False,13.5,61,Slight rain
2024-07-23,76.2,84.4,70.5,0.252,True,0.0,False,6.7,61,Slight rain
2024-07-24,76.2,84.0,70.6,0.252,True,0.0,False,10.0,63,Rain
2024-07-25,77.3,87.5,69.3,0.02,True,0.0,False,10.7,53,Drizzle
2024-07-26,75.0,85.6,64.1,0.0,False,0.0,False,12.9,3,Overcast
2024-07-27,76.2,85.6,64.1,0.0,False,0.0,False,9.7,3,Overcast
2024-07-28,76.7,89.3,65.7,0.0,False,0.0,False,13.8,3,Overcast
2024-07-29,77.0,84.1,71.9,0.185,True,0.0,False,12.0,61,Slight rain
2024-07-30,78.8,86.6,71.3,0.008,True,0.0,False,21.4,51,Light drizzle
2024-07-31,78.6,85.9,74.5,0.354,True,0.0,False,12.5,63,Rain
2024-08-01,81.5,94.3,70.2,0.008,True,0.0,False,13.3,51,Light drizzle
2024-08-02,80.8,91.3,74.8,0.283,True,0.0,False,15.3,63,Rain
2024-08-03,80.7,91.8,74.3,0.394,True,0.0,False,14.8,63,Rain
2024-08-04,76.2,82.6,73.8,0.579,True,0.0,False,9.7,65,Heavy rain
2024-08-05,79.8,88.7,70.0,0.0,False,0.0,False,12.7,3,Overcast
2024-08-06,78.3,89.3,72.0,2.063,True,0.0,False,11.0,65,Heavy rain
2024-08-07,70.2,72.8,65.8,1.189,True,0.0,False,14.7,65,Heavy rain
2024-08-08,69.2,74.1,64.7,0.252,True,0.0,False,13.9,61,Slight rain
2024-08-09,77.0,83.1,72.5,1.094,True,0.0,False,27.2,65,Heavy rain
2024-08-10,77.8,85.2,71.6,0.264,True,0.0,False,11.5,63,Rain
2024-08-11,73.4,81.2,66.6,0.008,True,0.0,False,11.6,51,Light drizzle
2024-08-12,71.7,79.8,62.9,0.008,True,0.0,False,12.8,51,Light drizzle
2024-08-13,71.4,81.8,61.3,0.0,False,0.0,False,9.3,3,Overcast
2024-08-14,73.8,83.8,64.0,0.012,True,0.0,False,10.4,51,Light drizzle
2024-08-15,76.3,87.7,63.7,0.0,False,0.0,False,7.2,1,Mainly clear
2024-08-16,75.9,87.1,66.0,0.016,True,0.0,False,11.1,51,Light drizzle
2024-08-17,74.3,79.6,69.9,0.047,True,0.0,False,15.3,53,Drizzle
2024-08-18,73.3,77.5,71.2,0.642,True,0.0,False,15.9,63,Rain
2024-08-19,73.5,83.1,68.9,0.898,True,0.0,False,11.9,65,Heavy rain
2024-08-20,66.5,72.9,61.5,0.004,True,0.0,False,13.2,51,Light drizzle
2024-08-21,64.2,73.1,55.0,0.0,False,0.0,False,13.2,1,Mainly clear
2024-08-22,66.3,76.6,55.0,0.0,False,0.0,False,12.4,2,Partly cloudy
2024-08-23,69.6,82.0,56.8,0.0,False,0.0,False,9.7,2,Partly cloudy
2024-08-24,72.2,85.9,59.4,0.0,False,0.0,False,7.6,3,Overcast
2024-08-25,74.2,87.1,62.5,0.0,False,0.0,False,11.9,3,Overcast
2024-08-26,74.1,86.0,65.3,0.024,True,0.0,False,12.8,51,Light drizzle
2024-08-27,74.4,85.6,65.1,0.0,False,0.0,False,12.5,3,Overcast
